Jornada:1 ;;17-18 de Octubre de 2015;;;
F.S. Llinars Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;Teià Futbol Cinc Benjamí;;;
Dosrius F.S. Benjamí;-;F.S. Olímpic Argentona Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;A.D. Baró De Viver Benjami;;;
Lloret Esportiu F.s. Benjami;-;C.F.S. La Garriga Benjamí;;;
C.E.F.S. Granollers Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
Jornada: 13;;06 i 07 de Febrer de 2016;;;
Manyanet Sant Andreu F.S. Benjamí;-;F.S. Llinars Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
Teià Futbol Cinc Benjamí;-;Dosrius F.S. Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
A.D. Baró De Viver Benjami;-;Lloret Esportiu F.s. Benjami;;;
C.F.S. La Garriga Benjamí;-;C.E.F.S. Granollers Benjamí;;;
Jornada:14;;13 i 14 de Febrer de 2016;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;F.S. Llinars Benjamí;;;
Dosrius F.S. Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;Teià Futbol Cinc Benjamí;;;
Lloret Esportiu F.s. Benjami;-;F.S. Olímpic Argentona Benjamí;;;
C.E.F.S. Granollers Benjamí;-;A.D. Baró De Viver Benjami;;;
C.F.S. La Garriga Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
Jornada:15;;20 i 21 de Febrer de 2016;;;
Manyanet Sant Andreu F.S. Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
F.S. Llinars Benjamí;-;Dosrius F.S. Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
Teià Futbol Cinc Benjamí;-;Lloret Esportiu F.s. Benjami;;;
F.S. Olímpic Argentona Benjamí;-;C.E.F.S. Granollers Benjamí;;;
A.D. Baró De Viver Benjami;-;C.F.S. La Garriga Benjamí;;;
Jornada:16;;27 i 28 de Febrer de 2016;;;
Dosrius F.S. Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;F.S. Llinars Benjamí;;;
Lloret Esportiu F.s. Benjami;-;Manyanet Sant Andreu F.S. Benjamí;;;
C.E.F.S. Granollers Benjamí;-;Teià Futbol Cinc Benjamí;;;
C.F.S. La Garriga Benjamí;-;F.S. Olímpic Argentona Benjamí;;;
